query,num_qubits,max_time,num_points,epochs,decoherence_rate
"Predict correlation for 2 qubits over 10 time",3,8,100,2000,0.05
"Explore 2 qubit dynamics with 0.0 decoherence for 15 units",3,5,100,100,0.02
"Analyze entanglement in 2 qubits with 0.0 noise",2,10,100,500,0.1
"Test 6 qubits superposition for 15 time steps",4,5,100,500,0.05
"Generate 6 qubit expectation values from 0 to 12",2,8,100,1500,0.1
"Test 4-qubit quantum dynamics with 0.02 rate",2,5,100,1500,0.08
"Compute 4 qubit NN proxy with 1000 epochs",4,15,100,2000,0.0
"Predict correlation for 2 qubits over 12 time",5,15,100,500,0.1
"Simulate linear 6-qubit Hamiltonian for 10 time",2,15,100,1000,0.08
"Generate data for 2 qubits from t=0 to 12",2,5,100,1500,0.08
"Visualize 6 qubit SHAP analysis over 10 units",5,5,100,1500,0.08
"Run 2-qubit chain for 8 time units",2,5,100,1000,0.1
"Test 2 qubits superposition for 12 time steps",3,5,100,500,0.05
"Simulate linear 3-qubit Hamiltonian for 10 time",6,15,100,2000,0.05
"Model 2-qubit bit-flip channel at 0.02 for 15 time",5,15,100,2000,0.05
"Test 3 qubits superposition for 12 time steps",5,15,100,2000,0.08
"Generate data for 3 qubits from t=0 to 10",2,5,100,2000,0.02
"Analyze 4 qubits with decoherence 0.05",5,12,100,500,0.08
"Generate 6 qubit expectation values from 0 to 10",4,12,100,1500,0.08
"Run 5 qubits with magnetic field over 8 units",2,10,100,1500,0.05
"Analyze entanglement in 6 qubits with 0.05 noise",4,10,100,500,0.08
"Explore 6 qubit dynamics with 0.0 decoherence for 12 units",2,5,100,100,0.0
"Predict correlation for 3 qubits over 8 time",5,5,100,1000,0.02
"Run 5-qubit chain for 12 time units",6,5,100,2000,0.1
"Simulate 4-qubit correlations at 0.0 decoherence",6,10,100,100,0.08
"Generate data for 4 qubits from t=0 to 10",4,12,100,100,0.05
"Analyze entanglement in 3 qubits with 0.0 noise",6,10,100,1000,0.0
"Simulate 3-qubit correlations at 0.0 decoherence",6,15,100,500,0.02
"Simulate 6-qubit correlations at 0.02 decoherence",5,8,100,100,0.05
